name,state_name,city,state,zip_code,phone
CARDINAL DOUGHERTY HIGH SCHOOL,PENNSYLVANIA,PHILADELPHIA,PA ,19120,2152762300
CARDINAL GIBBONS HIGH SCHOOL,NORTH CAROLINA,RALEIGH,NC ,27607,9198341625
CARDINAL GIBBONS HIGH SCHOOL,FLORIDA,FORT LAUDERDALE,FL ,33308,9544912900
CARDINAL GIBBONS SCHOOL,MARYLAND,BALTIMORE,MD ,21229,4106441770
CARDINAL HAYES HIGH SCHOOL,NEW YORK,BRONX,NY ,10451,7182926100
CARDINAL HICKEY ACADEMY,MARYLAND,OWINGS,MD ,20736,4102860404
CARDINAL JOSEPH BERNARDIN CATHOLIC SCHOOL,ILLINOIS,ORLAND HILLS,IL ,60487,7084036525
CARDINAL MAIDA ACADEMY,PENNSYLVANIA,VANDERGRIFT,PA ,15690,7245683304
CARDINAL MCCARRICK HIGH SCHOOL,NEW JERSEY,SOUTH AMBOY,NJ ,08879,7327274362
CARDINAL MCCLOSKEY SCHOOL,NEW YORK,OSSINING,NY ,10562,9147625302
CARDINAL MONTESSORI SCHOOL,VIRGINIA,WOODBRIDGE,VA ,22191,7034913810
CARDINAL MOONEY CATHOLIC,MICHIGAN,MARINE CITY,MI ,48039,8107658825
CARDINAL MOONEY HIGH SCHOOL,OHIO,YOUNGSTOWN,OH ,44507,3307885007
CARDINAL MOONEY HIGH SCHOOL,FLORIDA,SARASOTA,FL ,34232,9413714917
CARDINAL NEWMAN HIGH SCHOOL,CALIFORNIA,SANTA ROSA,CA ,95403,7075466470
CARDINAL NEWMAN HIGH SCHOOL,FLORIDA,WEST PALM BEACH,FL ,33409,5616836266
CARDINAL NEWMAN SCHOOL,SOUTH CAROLINA,COLUMBIA,SC ,29206,8037822814
CARDINAL O HARA HIGH SCHOOL,NEW YORK,TONAWANDA,NY ,14150,7166952600
CARDINAL O'HARA HIGH SCHOOL,PENNSYLVANIA,SPRINGFIELD,PA ,19064,6105443800
CARDINAL PACELLI ELEMENTARY SCHOOL,OHIO,CINCINNATI,OH ,45226,5133211048
CARDINAL RITTER COLLEGE PREP HIGH SCHOOL,MISSOURI,SAINT LOUIS,MO ,63108,3144465504
CARDINAL RITTER HIGH SCHOOL,INDIANA,INDIANAPOLIS,IN ,46222,3179244333
CARDINAL SHEHAN SCHOOL,MARYLAND,BALTIMORE,MD ,21239,4104332775
CARDINAL SPELLMAN HIGH SCHOOL,MASSACHUSETTS,BROCKTON,MA ,02302,5085836875
CARDINAL SPELLMAN HIGH SCHOOL,NEW YORK,BRONX,NY ,10466,7188818000
CARDINAL STRITCH HIGH SCHOOL,OHIO,OREGON,OH ,43616,4196930465
CARDINAL WRIGHT REGIONAL SCHOOL,PENNSYLVANIA,PITTSBURGH,PA ,15212,4122318248
CARE & SHARE UXBRIDGE CHRISTIAN ACADEMY,FLORIDA,OAKLAND PARK,FL ,33309,9546303333
CARE FOR KIDS,ILLINOIS,PROSPECT HEIGHTS,IL ,60070,8475200370
CARE TO LEARN SCHOOL,ALABAMA,HUNTSVILLE,AL ,35810,2568523723
CARENCRO CATHOLIC SCHOOL,LOUISIANA,CARENCRO,LA ,70520,3378968973
CARES SCHOOL,MISSISSIPPI,JACKSON,MS ,39202,6017091310
CARITAS ACADEMY OF ARTS & SCIENCES,MASSACHUSETTS,HUDSON,MA ,01749,9785670787
CARLBROOK SCHOOL,VIRGINIA,HALIFAX,VA ,24558,4344762406
CARLETON PROJECT,MAINE,ISLAND FALLS,ME ,04747,2077681000
CARLISLE CHRISTIAN ACADEMY,PENNSYLVANIA,CARLISLE,PA ,17015,7172493692
CARLISLE SCHOOL,VIRGINIA,AXTON,VA ,24054,2766327288
CARLISLE VALLEY,OHIO,MILLERSBURG,OH ,44654,
CARLSBAD MONTESSORI SCHOOL INC,CALIFORNIA,CARLSBAD,CA ,92008,7604344161
CARLTHORP SCHOOL,CALIFORNIA,SANTA MONICA,CA ,90402,3104511332
CARLTON PALMS EDUCATIONAL CENTER,FLORIDA,MOUNT DORA,FL ,32757,3527350588
CARMEL CATHOLIC HIGH SCHOOL,ILLINOIS,MUNDELEIN,IL ,60060,8475663000
CARMEL CHRISTIAN ACADEMY,VIRGINIA,RUTHER GLEN,VA ,22546,8044483288
CARMEL CHRISTIAN SCHOOL,NEW YORK,BROOKLYN,NY ,11216,7184839084
CARMEL CHRISTIAN SCHOOL,NORTH CAROLINA,MATTHEWS,NC ,28105,7048499723
CARMEL MONTESSORI ACADEMY & CHILDREN'S HOUSE,ILLINOIS,WARRENVILLE,IL ,60555,6303932995
CARMEL MONTESSORI SCHOOLS INC,INDIANA,CARMEL,IN ,46082,3175800699
CARMEL MOUNTAIN PRESCHOOL,CALIFORNIA,SAN DIEGO,CA ,92129,8584844877
CARMELITE HOME FOR BOYS - SCHOOL,WISCONSIN,WAUWATOSA,WI ,53213,4142485791
CARMELITE LEARNING CENTER,TEXAS,SAN ANTONIO,TX ,78203,2105330651
CARNEGIE MELLON CYERT CENTER FOR EARLY EDUCATION,PENNSYLVANIA,PITTSBURGH,PA ,15213,4122681515
CAROL & FRANK BIONDI EDUCATIONAL CENTER,NEW YORK,YONKERS,NY ,10705,9143758951
CAROL LEONE CHILDCARE & DEVELOPMENT CENTER,PENNSYLVANIA,MOON TOWNSHIP,PA ,15108,4122621638
CAROL STREAM CHRISTIAN ACADEMY,ILLINOIS,CAROL STREAM,IL ,60188,6306531044
CAROLINA ACADEMY,SOUTH CAROLINA,LAKE CITY,SC ,29560,8433745485
CAROLINA ADVENTIST ACADEMY,NORTH CAROLINA,WHITEVILLE,NC ,28472,9106400855
CAROLINA BAPTIST ACADEMY,NORTH CAROLINA,REIDSVILLE,NC ,27320,3366341345
CAROLINA CHRISTIAN ACADEMY,NORTH CAROLINA,THOMASVILLE,NC ,27360,3664728950
CAROLINA CHRISTIAN ACADEMY,SOUTH CAROLINA,LANCASTER,SC ,29720,8032855565
CAROLINA CHRISTIAN SCHOOL,NORTH CAROLINA,ASHEVILLE,NC ,28804,8286588964
CAROLINA CHRISTIAN SCHOOL,NORTH CAROLINA,LOCUST,NC ,28097,7048884332
CAROLINA DAY SCHOOL,NORTH CAROLINA,ASHEVILLE,NC ,28803,8282740757
CAROLINA FRIENDS SCHOOL,NORTH CAROLINA,DURHAM,NC ,27705,9193836602
CAROLINA MONTESSORI ACADEMY,NORTH CAROLINA,CHARLOTTE,NC ,28214,7043919570
CAROLYN BARRON MONTESSORI,GEORGIA,NEWNAN,GA ,30263,7702532135
CARONDELET CATHOLIC SCHOOL,MINNESOTA,MINNEAPOLIS,MN ,55410,6129278673
CARONDELET HIGH SCHOOL,CALIFORNIA,CONCORD,CA ,94518,9256865353
CAROUSEL DAY SCHOOL,NEW YORK,HICKSVILLE,NY ,11801,5169381137
CAROUSEL HOUSE SCHOOL,OHIO,DAYTON,OH ,45429,9374341934
CARPE DIEM ACADEMIA,FLORIDA,MIAMI,FL ,33157,3059711230
CARPE DIEM PRIMARY SCHOOL INC,WASHINGTON,VASHON,WA ,98070,2063758898
CARPENTER'S CROSS CHRISTIAN SCHOOL,TEXAS,FLINT,TX ,75762,9038251011
CARRABASSETT VALLEY ACADEMY,MAINE,CARRABASSETT VALLEY,ME ,04947,2072372250
CARRIAGE HOUSE CHILDRENS CENTER,PENNSYLVANIA,PITTSBURGH,PA ,15217,4124210300
CARRIAGE HOUSE SCHOOL INC,MASSACHUSETTS,MILTON,MA ,02186,6176962468
CARRINGTON ACADEMY WINDERMERE,GEORGIA,CUMMING,GA ,30041,7708888011
CARROLL ACADEMY,TENNESSEE,HUNTINGDON,TN ,38344,7319861350
CARROLL ACADEMY,MISSISSIPPI,CARROLLTON,MS ,38917,6622376858
CARROLL CATHOLIC SCHOOL,ILLINOIS,LINCOLN,IL ,62656,2177327518
CARROLL CHRISTIAN SCHOOLS,MARYLAND,WESTMINSTER,MD ,21157,4108763838
CARROLL HIGH SCHOOL,OHIO,DAYTON,OH ,45432,9372538188
CARROLL LUTHERAN SCHOOL,MARYLAND,WESTMINSTER,MD ,21158,4108481050
CARROLLTON SCHOOL OF THE SACRED HEART,FLORIDA,MIAMI,FL ,33133,3054465673
CARROLLWOOD DAY SCHOOL,FLORIDA,TAMPA,FL ,33613,8139202288
CARROLLWOOD LEARNING CENTER,FLORIDA,LUTZ,FL ,33549,8134010823
CARROLTON CHRISTIAN ACADEMY,TEXAS,CARROLLTON,TX ,75010,9722426688
CARSON CHRISTIAN SCHOOL,CALIFORNIA,CARSON,CA ,90745,3105385370
CARSON LONG MILITARY INSTITUTE,PENNSYLVANIA,NEW BLOOMFIELD,PA ,17068,7175822121
CARSON MONTESSORI ACADEMY,CALIFORNIA,CARSON,CA ,90745,3105181854
CARTER CHRISTIAN ACADEMY,KENTUCKY,GRAYSON,KY ,41143,6064751919
CARTERS CHRISTIAN ACADEMY,WISCONSIN,MILWAUKEE,WI ,53209,4144669120
CARVER CHRISTIAN ACADEMY,MISSOURI,KANSAS CITY,MO ,64132,8163611548
CARVER SCHOOL,OREGON,DAMASCUS,OR ,97089,5035588514
CARY ACADEMY,NORTH CAROLINA,CARY,NC ,27513,9196773873
CARY CHRISTIAN SCHOOL,NORTH CAROLINA,CARY,NC ,27513,9193032560
CASA DE MONTESSORI,MARYLAND,SILVER SPRING,MD ,20904,3013848404
CASA DEI BAMBINI,GEORGIA,MARIETTA,GA ,30067,7709732731
CASA DEI BAMBINI CHILDREN'S CENTER,NEW HAMPSHIRE,BOW,NH ,03304,6032240004
CASA DEI BAMBINI MONTESSORI SCHOOL,NEW YORK,EAST AMHERST,NY ,14051,7166685111
CASA DEI BAMBINI SCHOOL,CALIFORNIA,PALO ALTO,CA ,94306,6504739401
CASA DI MIR MONTESSORI SCHOOL,CALIFORNIA,CAMPBELL,CA ,95008,4083703073
CASA DIA MONTESSORI,MISSOURI,SAINT LOUIS,MO ,63122,3148228400
CASA MONTESSORI,CALIFORNIA,NORTHRIDGE,CA ,91325,8188867922
CASA MONTESSORI,FLORIDA,DELAND,FL ,32720,3867345454
CASA MONTESSORI CHILD DEV CENTER,TEXAS,AUSTIN,TX ,78703,5124744119
CASA MONTESSORI DE CARLSBAD,CALIFORNIA,CARLSBAD,CA ,92008,7607294455
CASA MONTESSORI OF FARMINGTON,NEW MEXICO,FARMINGTON,NM ,87402,5053250656
CASA NINOS SCHOOL OF MONTESSORI - EAST CAMPUS,ARIZONA,TUCSON,AZ ,85710,5207511454
CASA NINOS SCHOOL OF MONTESSORI - NORTH CAMPUS,ARIZONA,TUCSON,AZ ,85704,5202973898
CASA PACIFICA NONPUBLIC SCHOOL,CALIFORNIA,CAMARILLO,CA ,93012,8054457872
CASABLANCA ACADEMY,FLORIDA,HOLLYWOOD,FL ,33021,9544151149
CASADY SCHOOL,OKLAHOMA,OKLAHOMA CITY,OK ,73120,4057493100
CASAS CHRISTIAN SCHOOL,ARIZONA,ORO VALLEY,AZ ,85742,5202970922
CASCADE ACADEMICS,OREGON,OREGON CITY,OR ,97045,5035570336
CASCADE CANYON SCHOOL,CALIFORNIA,FAIRFAX,CA ,94930,4154593464
CASCADE CHRISTIAN ACADEMY,WASHINGTON,WENATCHEE,WA ,98801,5096622723
CASCADE CHRISTIAN PUYALLUP,WASHINGTON,PUYALLUP,WA ,98372,2538411776
CASCADE CHRISTIAN SCHOOLS - FREDRICKSON ELEMENTARY,WASHINGTON,TACOMA,WA ,98446,2538411776
CASCADE CHRISTIAN SCHOOLS - JR/SR HIGH SCHOOL,WASHINGTON,PUYALLUP,WA ,98372,2534459706
CASCADE CHRISTIAN SCHOOLS-TACOMA ELEMENTARY,WASHINGTON,TACOMA,WA ,98404,2538411776
CASCADE VISTA BAPTIST SCHOOL,WASHINGTON,KENT,WA ,98031,2538545828
CASCADES ACADEMY OF CENTRAL OREGON,OREGON,BEND,OR ,97701,5413820699
CASCADIA MONTESSORI SCHOOL,WASHINGTON,REDMOND,WA ,98052,4258811026
CASCADIA SCHOOL,WASHINGTON,VANCOUVER,WA ,98664,3609448096
CASCADILLA SCHOOL,NEW YORK,ITHACA,NY ,14850,6072723110
CASCIA HALL PREPARATORY SCHOOL,OKLAHOMA,TULSA,OK ,74114,9187462600
CASCO BAY MONTESSORI SCHOOL,MAINE,SOUTH PORTLAND,ME ,04106,2077992400
CASEY AMISH MENNONITE SCHOOL,KENTUCKY,LIBERTY,KY ,42539,6067878952
CASNER CHRISTIAN ACADEMY,TEXAS,AUSTIN,TX ,78759,5124536605
CASSATA HIGH SCHOOL,TEXAS,FORT WORTH,TX ,76104,8179261745
CASSELS CHRISTIAN ACADEMY,FLORIDA,STARKE,FL ,32091,9049642245
CASTILE CHRISTIAN ACADEMY,NEW YORK,CASTILE,NY ,14427,5854932528
CASTILLEJA SCHOOL,CALIFORNIA,PALO ALTO,CA ,94301,6503283168
CASTILLO CHRISTIAN SCHOOL,CALIFORNIA,MODESTO,CA ,95351,2093128443
CASTLE ACADEMY,COLORADO,CASTLE ROCK,CO ,80109,3036637300
CASTLE ACADEMY,NEW JERSEY,BARRINGTON,NJ ,08007,8565465901
CASTLE HILLS FIRST BAPTIST SCHOOL,TEXAS,SAN ANTONIO,TX ,78213,2103778485
CASTLE OAKS CHILDREN S CENTER,CALIFORNIA,CANOGA PARK,CA ,91306,8188863508
CASTLE-IN-THE-CLOUDS KINDERGARTEN,CALIFORNIA,LOS ANGELES,CA ,90047,3237569191
CASTLEHILL COUNTRY DAY SCHOOL,ARIZONA,TUCSON,AZ ,85712,5207950008
CASTLEWOOD CHRISTIAN SCHOOL,COLORADO,FRANKTOWN,CO ,80116,3036885353
CATALDO CATHOLIC SCHOOL,WASHINGTON,SPOKANE,WA ,99203,5096248759
CATALYST HIGH SCHOOL,COLORADO,LAFAYETTE,CO ,80026,3036046512
CATE SCHOOL,CALIFORNIA,CARPINTERIA,CA ,93014,8056844127
CATHEDRAL ACADEMY,LOUISIANA,NEW ORLEANS,LA ,70116,5045253860
CATHEDRAL ACADEMY,SOUTH CAROLINA,CHARLESTON,SC ,29423,8437601192
CATHEDRAL ACADEMY,ALABAMA,SELMA,AL ,36702,3348729997
CATHEDRAL BAPTIST SCHOOL,ILLINOIS,ROCKFORD,IL ,61109,8158743883
CATHEDRAL BASILICA OF ST LOUIS,MISSOURI,SAINT LOUIS,MO ,63108,3143738250
CATHEDRAL CARMEL SCHOOL,LOUISIANA,LAFAYETTE,LA ,70501,3372355577
CATHEDRAL CATHOLIC ACADEMY,HAWAII,HONOLULU,HI ,96817,8085332069
CATHEDRAL CATHOLIC ACADEMY,PENNSYLVANIA,JOHNSTOWN,PA ,15905,8142551964
CATHEDRAL CATHOLIC HIGH SCHOOL,CALIFORNIA,SAN DIEGO,CA ,92130,8585234000
CATHEDRAL CENTER SCHOOL,PENNSYLVANIA,ERIE,PA ,16501,8144524276
CATHEDRAL CHAPEL SCHOOL,CALIFORNIA,LOS ANGELES,CA ,90036,3239389976
CATHEDRAL CHRISTIAN LEARNING CENTER,ALABAMA,BIRMINGHAM,AL ,35215,2058547020
CATHEDRAL CHRISTIAN SCHOOL,TEXAS,BEAUMONT,TX ,77703,4098921503
CATHEDRAL CONSOLIDATED SCHOOL,PENNSYLVANIA,HARRISBURG,PA ,17101,7172343797
CATHEDRAL ELEMENTARY SCHOOL,MINNESOTA,CROOKSTON,MN ,56716,2182811835
CATHEDRAL GRADE SCHOOL,ILLINOIS,BELLEVILLE,IL ,62220,6182336414
CATHEDRAL GRADE SCHOOL,ILLINOIS,SPRINGFIELD,IL ,62703,2175232652
CATHEDRAL GRAMMAR SCHOOL,MASSACHUSETTS,BOSTON,MA ,02118,6174220042
CATHEDRAL HIGH SCHOOL,MASSACHUSETTS,SPRINGFIELD,MA ,01118,4137825285
CATHEDRAL HIGH SCHOOL,CALIFORNIA,LOS ANGELES,CA ,90012,3232252438
CATHEDRAL HIGH SCHOOL,INDIANA,INDIANAPOLIS,IN ,46226,3179867337
CATHEDRAL HIGH SCHOOL,TEXAS,EL PASO,TX ,79902,9155323238
CATHEDRAL HIGH SCHOOL,NEW YORK,NEW YORK,NY ,10022,2126881545
CATHEDRAL HIGH SCHOOL,MASSACHUSETTS,BOSTON,MA ,02118,6175422325
CATHEDRAL HIGH SCHOOL & JOHN XXIII MIDDLE SCHOOL,MINNESOTA,SAINT CLOUD,MN ,56302,3202513421
CATHEDRAL HOUSE MONTESSORI SCHOOL,TEXAS,HOUSTON,TX ,77002,7132222482
CATHEDRAL OF FAITH CHRISTIAN SCHOOL,VIRGINIA,CHESAPEAKE,VA ,23324,7575458050
CATHEDRAL OF LOVE CHRISTIAN SCHOOL,NEW JERSEY,WILLINGBORO,NJ ,08046,6098779377
CATHEDRAL OF ST CATHERINE OF SIENA SCHOOL,PENNSYLVANIA,ALLENTOWN,PA ,18104,6104358981
CATHEDRAL OF ST RAYMOND SCHOOL,ILLINOIS,JOLIET,IL ,60435,8157226626
CATHEDRAL OF THE PALMS CHRISTIAN SCHOOL,TEXAS,CORPUS CHRISTI,TX ,78411,3618530126
CATHEDRAL OF THE RISEN CHRIST SCHOOL,NEBRASKA,LINCOLN,NE ,68506,4024899621
CATHEDRAL PARISH SCHOOL,FLORIDA,ST AUGUSTINE,FL ,32084,9048242861
CATHEDRAL PREP SEMINARY,NEW YORK,ELMHURST,NY ,11373,7185926800
CATHEDRAL PREPARATORY SCHOOL,PENNSYLVANIA,ERIE,PA ,16501,8144537737
CATHEDRAL SCHOOL,WISCONSIN,SUPERIOR,WI ,54880,7153922976
CATHEDRAL SCHOOL,OREGON,PORTLAND,OR ,97209,5032759370
CATHEDRAL SCHOOL,NORTH CAROLINA,RALEIGH,NC ,27603,9198324711
CATHEDRAL SCHOOL,MISSISSIPPI,NATCHEZ,MS ,39120,6014422531
CATHEDRAL SCHOOL,NEW YORK,NEW YORK,NY ,10025,2123167500
CATHEDRAL SCHOOL & EARLY CHILDHOOD CENTER,MISSOURI,SAINT JOSEPH,MO ,64501,8162328486
CATHEDRAL SCHOOL AT HOLY ROSARY,NEW YORK,ROCHESTER,NY ,14613,5852548180
CATHEDRAL SCHOOL FOR BOYS,CALIFORNIA,SAN FRANCISCO,CA ,94108,4156145115
CATHEDRAL SCHOOL OF ST MARY,TEXAS,AUSTIN,TX ,78701,5124761480
CATHEDRAL SCHOOL OF THE ARTS,GEORGIA,ATLANTA,GA ,30306,4043737114
CATHERINE LABOURE SPECIAL EDUCATION PROGRAM,NEW YORK,BROOKLYN,NY ,11228,7184491857
CATHERINE MCAULEY HIGH SCHOOL,MAINE,PORTLAND,ME ,04103,2077973802
CATHOLIC ACADEMY OF NIAGARA FALLS - ELEMENTARY,NEW YORK,NIAGARA FALLS,NY ,14304,7162831455
CATHOLIC ACADEMY OF THE HOLY FAMILY,NEW YORK,JAMESTOWN,NY ,14701,7164833245
CATHOLIC ACADEMY WEST BUFFALO,NEW YORK,BUFFALO,NY ,14209,7168856111
CATHOLIC CENTRAL ELEMENTARY - LAGONDA CAMPUS,OHIO,SPRINGFIELD,OH ,45503,9373245451
CATHOLIC CENTRAL ELEMENTARY - LIMESTONE CAMPUS,OHIO,SPRINGFIELD,OH ,45503,9373995451
CATHOLIC CENTRAL HIGH SCHOOL,OHIO,SPRINGFIELD,OH ,45505,9373259204
CATHOLIC CENTRAL HIGH SCHOOL,OHIO,STEUBENVILLE,OH ,43952,7402645538
CATHOLIC CENTRAL HIGH SCHOOL,NEW YORK,TROY,NY ,12182,5182357100
CATHOLIC CENTRAL HIGH SCHOOL,WISCONSIN,BURLINGTON,WI ,53105,2627631510
CATHOLIC CENTRAL HIGH SCHOOL,MICHIGAN,GRAND RAPIDS,MI ,49503,6162335802
CATHOLIC CENTRAL HIGH SCHOOL,MICHIGAN,NOVI,MI ,48374,2485963810
CATHOLIC CENTRAL SCHOOL,NEW YORK,BUFFALO,NY ,14216,7168647325
CATHOLIC CHILDRENS HOME,ILLINOIS,ALTON,IL ,62002,6184653594
CATHOLIC DAYCARE CENTER,ILLINOIS,EAST SAINT LOUIS,IL ,62201,6188747178
CATHOLIC EAST ELEMENTARY SCHOOL,WISCONSIN,MILWAUKEE,WI ,53211,4149641770
CATHOLIC ELEMENTARY OF POINTE COUPEE,LOUISIANA,NEW ROADS,LA ,70760,2256389313
CATHOLIC HIGH SCHOOL,ALABAMA,HUNTSVILLE,AL ,35805,2564301760
CATHOLIC HIGH SCHOOL,LOUISIANA,BATON ROUGE,LA ,70806,2253830397
CATHOLIC HIGH SCHOOL FOR BOYS,ARKANSAS,LITTLE ROCK,AR ,72205,5016643939
CATHOLIC HIGH SCHOOL OF POINTE COUPEE,LOUISIANA,NEW ROADS,LA ,70760,2256389313
CATHOLIC MEMORIAL,MASSACHUSETTS,WEST ROXBURY,MA ,02132,6174698008
CATHOLIC MEMORIAL HIGH SCHOOL,WISCONSIN,WAUKESHA,WI ,53186,2625427101
CATHOLIC SCHOOLS OF FAIRBANKS,ALASKA,FAIRBANKS,AK ,99701,9074564574
CATHYS KIDS CLUB,CALIFORNIA,SANTA ANA,CA ,92705,7148322669
CATLIN GABEL SCHOOL,OREGON,PORTLAND,OR ,97225,5032971894
CATTOIRA MONTESSORI SCHOOL,FLORIDA,MIAMI,FL ,33156,3052746509
CAUGHLIN PRESCHOOL,NEVADA,RENO,NV ,89523,7757463444
CAVANAUGH CHILDRENS CENTER,ARKANSAS,FORT SMITH,AR ,72908,4796462085
CAVE CREEK MONTESSORI,ARIZONA,CAVE CREEK,AZ ,85331,6024180145
CBR YOUTH CONNECT,COLORADO,LA JUNTA,CO ,81050,7193845981
CCCD - CONNECTICUT CENTER FOR CHILD DEVELOPMENT,CONNECTICUT,MILFORD,CT ,06460,2038828810
CCDC OF LITTLE ANGELS,CALIFORNIA,LOS ANGELES,CA ,90043,3232990189
CCHAT CENTER-SACRAMENTO,CALIFORNIA,RANCHO CORDOVA,CA ,95670,9163617290
CCLC AT HERSHEY,PENNSYLVANIA,HERSHEY,PA ,17033,7175315484
CCLC AT NEWARK,NEW JERSEY,NEWARK,NJ ,07107,9736230182
CCLC OF FRAMINGHAM,MASSACHUSETTS,FRAMINGHAM,MA ,01701,5083902700
CCMC SCHOOL,CONNECTICUT,WETHERSFIELD,CT ,06109,8609474100
CEDAR BROOK SCHOOL,MASSACHUSETTS,REHOBOTH,MA ,02769,5082523930
CEDAR CATHOLIC HIGH SCHOOL,NEBRASKA,HARTINGTON,NE ,68739,4022543906
CEDAR CREEK AMISH SCHOOL,INDIANA,GRABILL,IN ,46741,
CEDAR CREEK CHRISTIAN SCHOOL,MICHIGAN,DELTON,MI ,49046,2696235543
CEDAR CREEK CHRISTIAN SCHOOL,FLORIDA,JACKSONVILLE,FL ,32205,9047819151
CEDAR CREEK MONTESSORI SCHOOL,CALIFORNIA,BERKELEY,CA ,94702,5105251377
CEDAR CREEK SCHOOL,LOUISIANA,RUSTON,LA ,71270,3182557707
CEDAR CREEK SCHOOL,TEXAS,SAN ANTONIO,TX ,78218,2108223792
CEDAR CREST ACADEMY,MICHIGAN,CLARKSTON,MI ,48348,2486257270
CEDAR CREST ACADEMY KIRKLAND,WASHINGTON,KIRKLAND,WA ,98033,4258891111
CEDAR CREST ACADEMY LLC,WASHINGTON,BELLEVUE,WA ,98005,4254551211
CEDAR FALLS SCHOOL,MISSOURI,CANTON,MO ,63435,5732883995
CEDAR FOREST CHRISTIAN SCHOOL,NORTH CAROLINA,WINSTON SALEM,NC ,27106,3369248641
CEDAR GORVE SCHOOL,TENNESSEE,MURFREESBORO,TN ,37130,6158959590
CEDAR GROVE AMISH SCHOOL,DELAWARE,DOVER,DE ,19904,3022227071
CEDAR GROVE AMISH SCHOOL,INDIANA,MONTGOMERY,IN ,47558,8126877215
CEDAR GROVE CHRISTIAN ACADEMY,PENNSYLVANIA,PHILADELPHIA,PA ,19111,2157253383
CEDAR GROVE CHRISTIAN SCHOOL,ALABAMA,ANDALUSIA,AL ,36421,3344934354
CEDAR HALL SCHOOL,TENNESSEE,CHRISTIANA,TN ,37037,6158934015
CEDAR HILL PREP SCHOOL,NEW JERSEY,SOMERSET,NJ ,08873,7323565400
CEDAR HILLS BAPTIST CHRISTIAN SCHOOL,FLORIDA,JACKSONVILLE,FL ,32210,9047720812
CEDAR HILLS KINDERGARTEN & PRESCHOOL,OREGON,PORTLAND,OR ,97225,5036439010
CEDAR LAKE CHRISTIAN ACADEMY,MISSISSIPPI,BILOXI,MS ,39532,2283929389
CEDAR LAKE ELEMENTARY SCHOOL,MICHIGAN,CEDAR LAKE,MI ,48812,9894275614
CEDAR MONTESSORI SCHOOL,FLORIDA,NAPLES,FL ,34109,2395977190
CEDAR PARK CHRISTIAN SCHOOL LYNNWOOD CAMPUS,WASHINGTON,LYNNWOOD,WA ,98037,4257429518
CEDAR PARK MONTESSORI SCHOOL,TEXAS,CEDAR PARK,TX ,78613,5122598495
CEDAR RIDGE SCHOOL,MARYLAND,WILLIAMSPORT,MD ,21795,3015820282
CEDAR RIVER ACADEMY,WASHINGTON,ENUMCLAW,WA ,98022,3608258080
CEDAR RIVER MONTESSORI SCHOOL,WASHINGTON,RENTON,WA ,98058,4252719614
CEDAR ROAD CHRISTIAN ACADEMY,VIRGINIA,CHESAPEAKE,VA ,23322,7575479553
CEDAR RUN MENNONITE SCHOOL,PENNSYLVANIA,LEBANON,PA ,17046,7178671372
CEDAR SPRINGS WALDORF SCHOOL,CALIFORNIA,PLACERVILLE,CA ,95667,5306429903
CEDAR SPRINGS WEEKDAY SCHOOL,TENNESSEE,KNOXVILLE,TN ,37923,8652915251
CEDAR TREE CHRISTIAN CLASSICAL SCHOOL,WASHINGTON,VANCOUVER,WA ,98665,3608870190
CEDAR TREE MONTESSORI,WASHINGTON,BELLINGHAM,WA ,98225,3607141762
CEDAR VALLEY CHRISTIAN ACADEMY,GEORGIA,DALTON,GA ,30721,7062592822
CEDAR VALLEY CHRISTIAN SCHOOL,IOWA,CEDAR RAPIDS,IA ,52403,3193667462
CEDAR VIEW CHRISTIAN SCHOOL,TENNESSEE,KINGSPORT,TN ,37662,4232456341
CEDAR WOOD CHRISTIAN ACADEMY,COLORADO,AURORA,CO ,80042,3033616456
CEDARBROOK ADVENTIST CHRISTIAN,WASHINGTON,PORT HADLOCK,WA ,98339,3603850150
CEDARCREEK SCHOOLHOUSE ACADEMY,TENNESSEE,NASHVILLE,TN ,37204,6153837002
CEDARCREST ACADEMY,MINNESOTA,MAPLE GROVE,MN ,55311,7634945387
CEDARCREST CENTER FOR CHILDREN WITH DISABILITIES,NEW HAMPSHIRE,KEENE,NH ,03431,6033583384
CEDARCROFT SCHOOL,MARYLAND,BALTIMORE,MD ,21212,4104350905
CEDARHOME CHRISTIAN SCHOOL,WASHINGTON,STANWOOD,WA ,98292,3606295340
CEDARHURST SCHOOL,CONNECTICUT,HAMDEN,CT ,06517,2037649314
CEDARS MONTESSORI SCHOOL,TEXAS,AUSTIN,TX ,78736,5122881245
CEDARS OF LEBANON ACADEMY,TENNESSEE,MC MINNVILLE,TN ,37110,9316923635
CEDARWOOD SCHOOL,LOUISIANA,MANDEVILLE,LA ,70471,9858457111
CEDARWOOD WALDORF SCHOOL,OREGON,PORTLAND,OR ,97201,5032451477
CELEBRATE THE CHILDREN,NEW JERSEY,WHARTON,NJ ,07885,9739894033
CELEBRATION ACADEMY,GEORGIA,HOSCHTON,GA ,30548,7709659367
CELEBRATION BAPTIST KINDERSCHOOL,FLORIDA,TALLAHASSEE,FL ,32309,8508931709
CELEBRATION CHRISTIAN ACADEMY,MARYLAND,COLUMBIA,MD ,21045,4109972384
CELEBRATION LUTHERAN SCHOOL,WISCONSIN,APPLETON,WI ,54913,9207348218
CELERYVILLE CHRISTIAN SCHOOL,OHIO,WILLARD,OH ,44890,4199353633
